11,"Agriculture, Forestry, Fishing, & Hunting",2,11
111,Crop production,3,11
112,Animal production and aquaculture,3,11
113,Forestry and logging,3,11
114,"Fishing, hunting and trapping",3,11
115,Support activities for agriculture and forestry,3,11
1111,Oilseed and grain farming,4,11
1112,Vegetable and melon farming,4,11
1113,Fruit and tree nut farming,4,11
1114,"Greenhouse, nursery and floriculture production",4,11
1119,Other crop farming,4,11
1121,Cattle ranching and farming,4,11
1122,Hog and pig farming,4,11
1123,Poultry and egg production,4,11
1124,Sheep and goat farming,4,11
1125,Aquaculture,4,11
1129,Other animal production,4,11
1131,Timber tract operations,4,11
1132,Forest nurseries and gathering of forest products,4,11
1133,Logging,4,11
1141,Fishing,4,11
1142,Hunting and trapping,4,11
1151,Support activities for crop production,4,11
1152,Support activities for animal production,4,11
1153,Support activities for forestry,4,11
11111,Soybean farming,5,11
11112,Oilseed (except soybean) farming,5,11
11113,Dry pea and bean farming,5,11
11114,Wheat farming,5,11
11115,Corn farming,5,11
11116,Rice farming,5,11
11119,Other grain farming,5,11
11121,Vegetable and melon farming,5,11
11131,Orange groves,5,11
11132,Citrus (except orange) groves,5,11
11133,Non-citrus fruit and tree nut farming,5,11
11141,Food crops grown under cover,5,11
11142,Nursery and floriculture production,5,11
11191,Tobacco farming,5,11
11192,Cotton farming,5,11
11193,Sugar cane farming,5,11
11194,Hay farming,5,11
11199,All other crop farming,5,11
11211,"Beef cattle ranching and farming, including feedlots",5,11
11212,Dairy cattle and milk production,5,11
11221,Hog and pig farming,5,11
11231,Chicken egg production,5,11
11232,Broiler and other meat-type chicken production,5,11
11233,Turkey production,5,11
11234,Poultry hatcheries,5,11
11239,Other poultry production,5,11
11241,Sheep farming,5,11
11242,Goat farming,5,11
11251,Aquaculture,5,11
11291,Apiculture,5,11
11292,Horse and other equine production,5,11
11293,Fur-bearing animal and rabbit production,5,11
11299,All other animal production,5,11
11311,Timber tract operations,5,11
11321,Forest nurseries and gathering of forest products,5,11
11331,Logging,5,11
11411,Fishing,5,11
11421,Hunting and trapping,5,11
11511,Support activities for crop production,5,11
11521,Support activities for animal production,5,11
11531,Support activities for forestry,5,11
111110,Soybean farming,6,11
111120,Oilseed (except soybean) farming,6,11
111130,Dry pea and bean farming,6,11
111140,Wheat farming,6,11
111150,Corn farming,6,11
111160,Rice farming,6,11
111190,Other grain farming,6,11
111191,Oilseed and Grain Combination Farming,6,11
111199,All Other Grain Farming,6,11
111211,Potato farming,6,11
111219,Other vegetable (except potato) and melon farming,6,11
111310,Orange groves,6,11
111320,Citrus (except orange) groves,6,11
111330,Non-citrus fruit and tree nut farming,6,11
111331,Apple Orchards,6,11
111332,Grape Vineyards,6,11
111333,Strawberry Farming,6,11
111334,Berry (except Strawberry) Farming,6,11
111335,Tree Nut Farming,6,11
111336,Fruit and Tree Nut Combination Farming,6,11
111339,Other Noncitrus Fruit Farming,6,11
111411,Mushroom production,6,11
111419,Other food crops grown under cover,6,11
111421,Nursery and tree production,6,11
111422,Floriculture production,6,11
111910,Tobacco farming,6,11
111920,Cotton farming,6,11
111930,Sugar cane farming,6,11
111940,Hay farming,6,11
111991,Sugar Beet Farming,6,11
111992,Peanut Farming,6,11
111993,Fruit and vegetable combination farming,6,11
111994,Maple syrup and products production,6,11
111998,All Other Miscellaneous Crop Farming,6,11
111999,All other miscellaneous crop farming,6,11
112110,"Beef cattle ranching and farming, including feedlots",6,11
112111,Beef Cattle Ranching and Farming,6,11
112112,Cattle Feedlots,6,11
112120,Dairy cattle and milk production,6,11
112130,Dual-Purpose Cattle Ranching and Farming,6,11
112210,Hog and pig farming,6,11
112310,Chicken egg production,6,11
112320,Broiler and other meat-type chicken production,6,11
112330,Turkey production,6,11
112340,Poultry hatcheries,6,11
112390,Other Poultry Production,6,11
112391,Combination poultry and egg production,6,11
112399,All other poultry production,6,11
112410,Sheep farming,6,11
112420,Goat farming,6,11
112510,Aquaculture,6,11
112511,Finfish Farming and Fish Hatcheries,6,11
112512,Shellfish Farming,6,11
112519,Other Aquaculture,6,11
112910,Apiculture,6,11
112920,Horse and other equine production,6,11
112930,Fur-bearing animal and rabbit production,6,11
112990,All Other Animal Production,6,11
112991,Animal combination farming,6,11
112999,All other miscellaneous animal production,6,11
113110,Timber tract operations,6,11
113210,Forest nurseries and gathering of forest products,6,11
113310,Logging,6,11
113311,Logging (except contract),6,11
113312,Contract logging,6,11
114111,Finfish Fishing,6,11
114112,Shellfish Fishing,6,11
114113,Salt water fishing,6,11
114114,Freshwater fishing,6,11
114119,Other Marine Fishing,6,11
114210,Hunting and trapping,6,11
115110,Support activities for crop production,6,11
115111,Cotton Ginning,6,11
115112,"Soil Preparation, Planting, and Cultivating",6,11
115113,"Crop Harvesting, Primarily by Machine",6,11
115114,Postharvest Crop Activities (except Cotton Ginning),6,11
115115,Farm Labor Contractors and Crew Leaders,6,11
115116,Farm Management Services,6,11
115119,Otros servicios relacionados con la agricultura,6,11
115210,Support activities for animal production,6,11
115310,Support activities for forestry,6,11
21,"Mining, Quarrying, Oil & Gas Extraction",2,21
211,Oil and gas extraction,3,21
212,Mining and quarrying (except oil and gas),3,21
213,"Support activities for mining, and oil and gas extraction",3,21
2111,Oil and gas extraction,4,21
2121,Coal mining,4,21
2122,Metal ore mining,4,21
2123,Non-metallic mineral mining and quarrying,4,21
2131,"Support activities for mining, and oil and gas extraction",4,21
21111,Oil and gas extraction,5,21
21211,Coal mining,5,21
21221,Iron ore mining,5,21
21222,Gold and silver ore mining,5,21
